Year,Variety,Centrality Quantile
2014,mosaic,0.2
2014,chinook,0.2
2014,chinook,0.2
2014,simcoe,0.2
2014,mosaic,0.4
2014,nugget,0.6
2014,nugget,0.2
2014,mosaic,0.6
2014,chinook,0.4
2014,nugget,0.2
2014,nugget,0.6
2014,nugget,0.4
2014,simcoe,0.4
2014,chinook,0.8
2014,chinook,0.6
2014,mosaic,0.8
2014,simcoe,0.6
2014,nugget,0.4
2014,chinook,0.4
2014,chinook,0.2
2014,chinook,0.4
2014,nugget,0.6
2014,simcoe,0.8
2014,mosaic,1.0
2014,nugget,0.8
2014,chinook,0.6
2014,simcoe,0.6
2014,simcoe,1.0
2014,mosaic,0.8
2014,chinook,1.0
2014,nugget,0.8
2014,nugget,0.8
2014,nugget,0.2
2014,mosaic,0.2
2014,nugget,0.2
2014,simcoe,0.2
2014,chinook,0.2
2014,mosaic,0.2
2014,simcoe,0.4
2014,nugget,0.4
2014,simcoe,0.2
2014,chinook,0.2
2014,mosaic,0.2
2014,nugget,0.4
2014,chinook,0.8
2014,mosaic,0.8
2014,mosaic,0.8
2014,mosaic,0.4
2014,chinook,0.6
2014,simcoe,0.8
2014,mosaic,0.6
2014,simcoe,0.2
2014,mosaic,0.2
2014,nugget,0.2
2014,simcoe,0.2
2014,simcoe,0.4
2014,mosaic,0.4
2014,simcoe,0.4
2014,simcoe,0.4
2014,nugget,0.4
2014,chinook,0.4
2014,mosaic,0.4
2014,mosaic,0.4
2014,chinook,0.4
2014,simcoe,0.6
2014,nugget,1.0
2014,mosaic,0.6
2014,simcoe,0.6
2014,chinook,1.0
2014,chinook,0.6
2014,mosaic,0.6
2014,nugget,0.6
2014,simcoe,0.6
2014,nugget,1.0
2014,nugget,0.8
2014,nugget,1.0
2014,nugget,0.8
2014,nugget,1.0
2014,simcoe,1.0
2014,simcoe,0.8
2014,mosaic,1.0
2014,simcoe,1.0
2014,chinook,1.0
2014,nugget,0.6
2014,mosaic,0.6
2014,chinook,0.8
2014,chinook,0.8
2014,mosaic,0.8
2014,nugget,1.0
2014,chinook,1.0
2014,mosaic,1.0
2014,simcoe,0.8
2014,mosaic,1.0
2014,chinook,0.8
2014,mosaic,1.0
2014,chinook,1.0
2014,chinook,1.0
2014,simcoe,1.0
2014,simcoe,0.8
2015,mosaic,0.2
2015,simcoe,0.2
2015,nugget,0.2
2015,nugget,0.2
2015,mosaic,0.4
2015,mosaic,0.6
2015,mosaic,0.2
2015,chinook,0.8
2015,mosaic,0.6
2015,chinook,0.4
2015,mosaic,0.4
2015,mosaic,0.6
2015,mosaic,0.8
2015,simcoe,0.6
