quartile,mean_profit,lambda_may
0.1,-3905.9460738566213,0
0.1,-3905.0219200611664,0
0.1,-3904.1747790819977,0
0.1,-4014.9964856805686,0
0.1,-4014.9999181754206,0
0.1,-3904.9449072448783,0
0.1,-3904.9449072448774,0
0.1,-3904.9449072448783,0
0.1,-3905.0219200611664,0
0.1,-3904.7908816123017,0
0.1,-3905.3299713263186,0
0.1,-4014.9925344940307,0
0.1,-3905.5610097751814,0
0.1,-3904.8678944285903,0
0.1,-3906.02308667291,0
0.1,-4014.9871346895284,0
0.1,-4014.962341387623,0
0.1,-3904.48283034715,0
0.1,-3905.561009775182,0
0.1,-4014.9960938217614,0
0.1,-3904.5598431634385,0
0.1,-3905.0989328774535,0
0.1,-3904.2517918982867,0
0.1,-3904.7908816123017,0
0.1,-3904.6368559797265,0
0.1,-4014.994914744209,0
0.1,-3904.1747790819977,0
0.1,-4014.9960938217614,0
0.1,-4014.994914744209,0
0.1,-3905.1759456937416,0
0.1,-4014.996181294018,0
0.1,-3904.5598431634385,0
0.1,-3904.7908816123017,0
0.1,-4014.9960938217614,0
0.1,-3904.7908816123017,0
0.1,-3904.8678944285903,0
0.1,-3905.792048224046,0
0.1,-3904.6368559797256,0
0.1,-3905.715035407757,0
0.1,-4014.994914744209,0
0.1,-3904.7138687960137,0
0.1,-3905.1759456937416,0
0.1,-3903.635689367982,0
0.1,-3905.175945693742,0
0.1,-3904.020753449422,0
0.1,-4014.960756897482,0
0.1,-3904.48283034715,0
0.1,-4014.9960938217614,0
0.1,-4014.997739706958,0
0.1,-4014.997739706958,0
0.1,-4014.994914744209,0
0.1,-3904.5598431634385,0
0.1,-3905.715035407757,0
0.1,-3905.3299713263173,0
0.1,-3904.7138687960137,0
0.1,-3905.5610097751814,0
0.1,-3904.9449072448774,0
0.1,-3904.9449072448783,0
0.1,-3906.02308667291,0
0.1,-3904.2517918982867,0
0.1,-4014.960756897482,0
0.1,-4014.994914744209,0
0.1,-4014.995052325792,0
0.1,-3905.0989328774535,0
0.1,-3904.09776626571,0
0.1,-3904.790881612302,0
0.1,-3904.8678944285903,0
0.1,-3905.561009775182,0
0.1,-4014.9925344940307,0
0.1,-4014.995285934414,0
0.1,-4014.994699796638,0
0.1,-3905.5610097751824,0
0.1,-3905.329971326318,0
0.1,-3905.329971326318,0
0.1,-4014.9994824568075,0
0.1,-3904.8678944285903,0
0.1,-3905.561009775182,0
0.1,-3904.9449072448774,0
0.1,-4014.9960938217614,0
0.1,-3904.2517918982867,0
0.1,-3904.9449072448774,0
0.1,-3904.713868796014,0
0.1,-4014.9974800535147,0
0.1,-3904.8678944285903,0
0.1,-4014.9960938217614,0
0.1,-3905.25295851003,0
0.1,-3905.8690610403337,0
0.1,-3905.7150354077585,0
0.1,-4014.960756897482,0
0.1,-4014.9960938217614,0
0.1,-4014.994914744209,0
0.1,-3904.7138687960137,0
0.1,-4014.997739706958,0
0.1,-4014.9625011212256,0
0.1,-3904.9449072448774,0
0.1,-3905.8690610403337,0
0.1,-3904.9449072448783,0
0.1,-3905.4839969588934,0
0.1,-3904.6368559797256,0
0.1,-4014.9960938217614,0
0.2,-3905.792048224046,0
0.2,-3905.3299713263173,0
0.2,-3905.715035407758,0
0.2,-4014.996588296683,0
0.2,-3904.9449072448783,0
0.2,-3905.4069841426062,0
0.2,-3905.2529585100297,0
0.2,-4014.9808842746406,0
0.2,-3904.4828303471504,0
0.2,-4014.9828885463135,0
0.2,-3903.635689367982,0
0.2,-3904.790881612302,0
0.2,-4014.9828885463135,0
0.2,-4014.986528492963,0
0.2,-4014.9990237491065,0
0.2,-4014.9972483871807,0
0.2,-3904.405817530862,0
0.2,-3905.715035407758,0
0.2,-4014.987474212328,0
0.2,-4014.969598060454,0
0.2,-3905.4069841426053,0
0.2,-4014.9972483871807,0
0.2,-4014.979925861632,0
0.2,-3904.8678944285903,0
0.2,-4014.986528492963,0
0.2,-3904.5598431634385,0
0.2,-3905.4069841426062,0
0.2,-3905.329971326318,0
0.2,-3905.63802259147,0
0.2,-3905.5610097751814,0
0.2,-4015.0192489642022,0
0.2,-3904.48283034715,0
0.2,-3904.5598431634376,0
0.2,-3905.098932877455,0
0.2,-3904.5598431634376,0
0.2,-3905.175945693742,0
0.2,-4014.969598060454,0
0.2,-3905.098932877454,0
0.2,-3905.098932877455,0
0.2,-3905.0219200611664,0
0.2,-4015.0192489642022,0
0.2,-3905.3299713263173,0
0.2,-4014.9828885463135,0
0.2,-3905.0219200611655,0
0.2,-4014.9986756493663,0
0.2,-3904.020753449422,0
0.2,-3904.4828303471504,0
0.2,-3905.0219200611664,0
0.2,-3905.329971326318,0
0.2,-3905.1759456937416,0
0.2,-3905.0219200611655,0
0.2,-3905.175945693742,0
0.2,-3904.9449072448783,0
0.2,-3903.7127021842703,0
0.2,-3905.098932877454,0
0.2,-4015.003592216693,0
0.2,-4014.986528492963,0
0.2,-4014.979925861632,0
0.2,-3905.25295851003,0
0.2,-4014.9990237491065,0
0.2,-4014.9828885463135,0
0.2,-4014.996588296683,0
0.2,-3904.6368559797265,0
0.2,-3905.561009775182,0
0.2,-3904.328804714574,0
0.2,-3904.7908816123017,0
0.2,-4014.956434770666,0
0.2,-4015.004824749107,0
0.2,-3904.9449072448783,0
0.2,-3904.09776626571,0
0.2,-3905.175945693742,0
0.2,-3905.63802259147,0
0.2,-3904.48283034715,0
0.2,-4014.9808842746406,0
0.2,-3905.0219200611664,0
0.2,-3905.715035407758,0
0.2,-3904.3288047145743,0
0.2,-4014.9976090182963,0
0.2,-4015.0192489642022,0
0.2,-3905.0219200611664,0
0.2,-3904.6368559797256,0
0.2,-4014.996588296683,0
0.2,-3904.3288047145743,0
0.2,-4014.979925861632,0
0.2,-4014.9828885463135,0
0.2,-3905.8690610403337,0
0.2,-3904.7138687960137,0
0.2,-3905.4069841426067,0
0.2,-3905.0989328774535,0
0.2,-4015.0192489642022,0
0.2,-3904.0977662657106,0
0.2,-3904.7138687960137,0
0.2,-3905.483996958894,0
0.2,-4015.0192489642022,0
0.2,-3904.405817530862,0
0.2,-3905.3299713263173,0
0.2,-3905.63802259147,0
0.2,-3904.48283034715,0
0.2,-3905.1759456937416,0
0.2,-3904.1747790819977,0
0.3,-4015.0040101252334,0
0.3,-3905.483996958894,0
0.3,-3903.9437406331344,0
0.3,-3905.175945693742,0
0.3,-3904.9449072448774,0
0.3,-3905.4069841426053,0
0.3,-3904.7908816123017,0
